longtitude,latitude
120.560111,22.567105
120.680001,24.070698
121.303376,24.191833
120.536745,24.252353
121.465555,25.041909
120.41658,23.634047
120.423783,23.071161
120.957925,24.600989
120.543028,24.171578
120.186905,23.373336
121.745872,24.656693
121.733743,24.696659
120.978169,23.946037
121.441968,25.081495
121.162304,24.845509
121.453435,25.161918
120.676629,24.109353
120.523701,22.625022
121.525558,25.091478
120.525469,24.032475
121.820238,24.71211
121.427843,24.985126
120.268809,23.107662
121.081728,22.786144
120.396445,23.624008
120.243525,22.767126
121.32296,24.96073
120.710727,24.565747
121.76281,24.699133
120.526622,24.227253
120.592521,24.250328
120.663479,24.185442
120.52953,22.620011
121.544018,25.057853
120.229231,22.981324
120.591547,23.979805
120.467524,22.658249
121.428966,25.05074
120.568079,23.989428
120.257223,22.991556
120.366022,22.508725
120.273947,22.771166
120.486166,22.549821
120.195274,22.995693
120.361292,23.309723
120.547814,24.091097
120.281829,23.310689
120.782498,24.483412
120.581711,23.912492
120.490688,24.127287
120.626766,24.374901
120.672991,24.081261
120.480364,24.017853
120.999098,24.634867
120.675193,24.173921
121.507641,24.592609
120.385789,22.880606
120.30152,22.62716
121.112814,22.867121
121.419328,23.707251
120.75079,22.004285
120.640339,24.170972
120.689807,24.244319
120.30067,22.971547
121.497925,25.022701
120.547745,24.155704
120.442779,23.792713
121.096835,24.750009
120.371218,22.653973
120.2283,22.90757
120.261664,23.237488
121.162883,24.937458
120.641973,24.401343
120.576768,24.118855
121.091829,22.787285
121.747784,24.308947
121.211806,24.705057
120.710303,24.139932
120.287805,23.129519
121.46982,25.036062
120.293608,22.981622
120.514398,24.167575
121.501224,24.993962
121.399058,24.942261
120.309368,23.721012
121.248138,24.944359
121.069543,24.756867
121.224837,24.973751
120.543621,24.202581
121.213342,25.026811
120.276445,23.579726
120.281357,22.784276
121.029669,24.9943
121.787872,24.80205
120.311936,22.827783
121.443922,25.082755
121.485541,25.022253
120.283627,22.667691
120.211739,22.981246
120.942658,24.805041
121.163246,24.981192
120.235299,23.115109
120.474956,22.501589
121.194297,25.039071
121.458355,25.062229
120.75004,24.545616
120.383248,22.948791
121.706298,24.723773
121.083728,24.975719
120.841546,22.252594
120.180075,23.148626
119.631988,23.583061
120.173944,23.552485
120.564391,22.753349
121.758758,24.75801
121.310445,24.999649
121.644155,24.677092
120.661669,24.150855
121.344379,23.059007
120.582267,23.984253
120.193566,23.637083
121.149606,24.907525
120.938144,22.440477
120.251436,22.950224
121.724197,25.121314
121.543741,25.038088
120.310175,22.681073
120.824529,24.56997
120.529878,22.779269
120.342676,23.066532
121.351623,24.94468
120.446722,22.664956
121.126577,24.89384
121.459521,25.150497
120.545835,22.643792
120.325274,23.275668
121.229597,24.908701
121.132915,24.798812
120.818764,24.52899
120.486907,22.657715
120.290696,22.709985
121.440067,25.049859
121.473062,25.079465
120.955819,24.614288
120.62392,24.205091
121.446047,25.193459
121.75828,25.133091
120.652989,22.261031
120.395753,23.904944
120.180324,23.116953
121.210765,22.86503
121.021903,24.833369
120.47529,23.797479
121.442174,24.978288
120.986875,24.777785
120.81342,24.561377
120.898904,24.726329
120.504903,23.880126
120.306344,23.64798
120.2389,22.83802
120.24629,23.436257
120.277306,23.06532
121.709024,24.722923
121.458371,25.075385
120.503701,24.05903
121.52252,25.102945
120.487496,22.606213
120.867431,24.704208
121.502434,25.259345
120.640096,24.43315
121.38978,25.06567
120.924441,24.306601
121.426237,25.002193
121.614021,23.982046
121.119956,24.736322
120.399011,22.625047
120.938357,23.965194
121.419688,25.016484
120.464806,23.506232
120.251336,22.984211
120.207324,23.05742
121.57083,23.97542
120.475931,23.670112
120.680642,24.419439
121.52636,25.087075
120.298872,22.723846
120.842473,24.676225
120.272123,23.189311
121.519832,25.089617
120.57565,24.25177
120.478403,22.516677
120.481528,23.447948
120.300574,22.810926
120.24542,23.398974
120.432739,23.591355
120.477655,23.135629
121.064183,24.876976
121.283737,24.946916
120.210043,23.173928
120.524454,24.014461
120.288198,23.595787
120.247094,23.726362
120.40622,23.815579
120.447937,24.090128
121.817545,24.859386
121.467479,25.024923
120.302375,22.792739
120.741628,24.263455
121.459465,25.029749
121.106436,25.052765
121.493091,25.03227
120.155169,23.201761
120.315436,22.596791
120.238128,22.920915
121.172724,25.007968
121.35,24.95
121.529255,23.617886
120.782616,23.720794
120.263852,22.909759
120.274093,23.052105
120.553436,24.099005
121.02004,24.816348
120.405849,22.487654
121.51251,23.875915
120.351552,22.68503
121.491043,25.029496
120.3331,22.88069
120.277277,22.723132
120.333128,22.945183
120.758129,23.830873
120.454415,24.08676
120.489818,24.13178
120.480905,22.485999
120.515782,22.615991
120.595087,24.028328
120.661814,24.244196
120.2963,23.555674
120.183495,23.225389
120.655996,24.127821
120.285336,22.64377
120.381735,22.851159
120.2595,22.85559
121.398532,25.058785
120.353701,22.731153
121.377562,23.534391
120.48058,22.652803
121.047116,23.91457
121.713216,24.808378
121.235279,24.955487
120.285313,23.309081
120.561492,22.614317
121.165369,24.881085
120.3103,22.85011
120.318026,23.840901
120.45493,23.481443
120.702129,22.206985
120.425372,24.035457
121.508073,25.029433
121.496965,25.036721
120.977131,24.803769
120.478224,23.683628
120.588791,24.348886
120.300878,23.39699
121.231895,25.107666
120.65182,22.270348
121.138048,25.039155
120.396907,22.525924
120.518783,24.13715
120.316002,23.148073
120.306717,23.608855
