Data_id,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated
384,6451,52,0
385,6523,52,0
386,6562,52,0
387,6623,52,0
388,6656,56,0
389,6708,56,0
390,6723,56,0
391,6742,57,0
392,6768,57,0
393,6809,58,0
394,6858,59,0
395,6896,59,0
396,6944,59,0
397,6966,59,0
398,6986,59,0
399,7028,59,0
400,7083,61,0
401,7134,61,0
402,7168,62,0
403,7202,62,0
404,7223,62,0
405,7238,64,0
406,7286,66,0
407,7319,68,0
408,7338,68,0
409,7368,68,0
410,7400,68,0
411,7413,68,0
412,7438,68,0
413,7461,69,0
414,7513,69,0
415,7553,70,0
416,7599,71,0
417,7647,71,0
418,7674,71,0
419,7692,71,0
420,7735,71,0
421,7775,71,0
422,7804,71,0
423,7849,71,0
424,7876,73,0
425,7891,73,0
426,7908,74,0
427,7938,74,0
428,7973,75,0
429,8009,75,0
430,8054,76,0
431,8089,76,0
432,8110,77,0
433,8110,77,0
434,8177,77,0
435,8227,77,0
436,8272,77,0
437,8320,77,0
438,8376,78,0
439,8395,79,0
440,8421,79,0
441,8482,80,0
442,8551,81,0
443,8624,81,0
444,8664,82,0
445,8731,82,0
446,8771,82,0
447,8800,82,0
448,8902,82,0
449,8985,82,0
450,9073,82,0
451,9142,82,0
452,9214,82,0
453,9259,82,0
454,9294,82,9.55
455,9374,85,9.55
456,9443,86,9.55
457,9503,86,9.55
458,9560,86,9.55
459,9607,86,9.55
460,9638,90,9.55
461,9681,90,9.55
462,9760,91,9.55
463,9834,92,9.55
464,9896,92,9.55
465,9958,92,9.55
466,10016,92,11.18
467,10050,92,11.18
468,10076,92,11.21
469,10122,92,11.3
470,10159,92,11.41
471,10219,92,11.8
472,10264,92,12.21
473,10305,92,12.97
474,10324,92,12.98
475,10345,92,14.01
476,10399,94,15.44
477,10437,94,16.83
478,10469,95,18.03
479,10505,97,18.68
480,10522,98,18.72
481,10538,98,18.73
482,10555,98,18.9
483,10570,98,18.9
484,10585,98,19.59
485,10608,98,20.43
486,10638,99,21.19
487,10650,99,21.19
488,10650,99,21.19
489,10679,100,21.71
490,10704,100,22.36
491,10721,100,22.68
